result,horse_sex,jockey_weight,horse_win_value,horse_psf_rate,race_info,speed,horse_age_4,horse_age_5,horse_age_6,horse_age_7,horse_age_8,horse_age_9,horse_age_10,horse_age_11,race_type_Condition 2,race_type_Condition 3,race_type_Condition 4,race_type_Condition 5,race_type_Condition-6,race_type_Condition-7,race_type_Condition-8,race_type_Condition-9,race_type_G 3,race_type_Handicap 13,race_type_Handicap 14,race_type_Handicap 15,race_type_Handicap 16,race_type_Handicap 17,race_type_Handicap 21,race_type_Maiden,race_type_Sale 1,race_type_Sale 2,race_type_Sale 3,race_age_group_1,race_track_type_1,race_track_condition_Moist,race_track_condition_Muddy,race_track_condition_Wet
0.625,0,0.6666666666666666,0.04334868599295584,0.12941176470588237,2024-01-01_Bursa_5,0.879157176434215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.75,0,0.4,0.14684367380113791,0.03529411764705882,2024-01-01_Bursa_5,0.8487529622248986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.875,0,0.4666666666666667,0.047954483879707396,0.10588235294117647,2024-01-01_Bursa_5,0.8340209127412012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0,0.3333333333333333,0.17474939040910323,0.023529411764705882,2024-01-01_Bursa_5,0.7915526553245796,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,0,0.4666666666666667,0.005418585749119479,0.4,2024-01-01_Bursa_6,0.9309165572738806,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2,0,0.5333333333333333,0.028989433757789222,0.15294117647058825,2024-01-01_Bursa_6,0.9307282265012589,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4,0,0.5333333333333333,0.08100785694933622,0.047058823529411764,2024-01-01_Bursa_6,0.91578201530773,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6,0,0.26666666666666666,0.013275535085342727,0.25882352941176473,2024-01-01_Bursa_6,0.9014896873142915,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8,0,0.5333333333333333,0.015984827959902467,0.2235294117647059,2024-01-01_Bursa_6,0.9012342624173336,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,0,0.3333333333333333,0.05093470604172311,0.08235294117647059,2024-01-01_Bursa_6,0.8720226344656583,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
