race_no,result,horse_age,horse_sex,jockey_weight,jockey_name,horse_race_degree,horse_win_value,horse_psf_rate,horse_psf_rank,horse_rate
4,1,8y,m,56,ÖZCAN YILDIRIM,2.05.76,1.75,42,1,87
4,2,6y,m,56,ONUR YILDIZ,2.06.84,21.4,3,5,54
4,3,6y,m,56,ALİ YILDIZ,2.08.56,2.55,24,2,89
4,4,4y,m,54,ALİCAN İNCİ,2.08.64,9.45,9,4,46
4,5,6y,m,56,BEKİR MERT MIRIK,2.08.85,4.8,19,3,75
4,6,6y,m,56,HÜSEYİN ŞİMŞEK,2.17.54,34.7,2,6,60
5,1,8y,m,57,ÖZCAN YILDIRIM,1.39.06,3.15,28,2,78
5,2,6y,m,59,BEKİR MERT MIRIK,1.39.31,1.7,37,1,80
5,3,8y,m,56,GÖKHAN GÖKÇE,1.40.46,5.05,16,3,70
5,4,6y,f,57,ALİ YILDIZ,1.43.91,8.05,12,4,64
5,5,9y,m,56,ALİCAN İNCİ,1.46.24,41.55,1,6,33
5,6,7y,m,56,ERHAN AKTUĞ,1.52.23,9.9,7,5,74
6,1,4y,f,55,FEYZULLAH AVCI,1.24.39,1.4,47,1,70
6,2,4y,f,51,MERT UYAR,1.24.62,4.7,16,3,49
6,3,4y,f,55,BEKİR MERT MIRIK,1.24.97,3.7,19,2,61
6,4,4y,f,55,ALİ YILDIZ,1.29.28,8.35,15,4,80
6,5,4y,f,55,ALİCAN İNCİ,1.32.67,28.3,3,5,36
7,1,3y,f,58,ÖZCAN YILDIRIM,1.31.96,1.55,54,1,38
7,2,3y,f,58,ONUR YILDIZ,1.32.75,3.05,21,2,36
7,3,3y,f,58,GÖKHAN GÖKÇE,1.33.24,7.45,10,3,31
7,4,3y,f,58,BEKİR MERT MIRIK,1.34.16,10.45,7,4,31
7,5,3y,f,58,ERHAN AKTUĞ,1.34.74,11.6,5,5,0
7,6,3y,f,58,ALİ YILDIZ,1.35.50,56.4,1,7,0
7,7,3y,f,58,ALİCAN İNCİ,1.37.33,50.8,1,6,0
7,8,3y,f,58,HÜSEYİN ŞİMŞEK,1.38.87,64.75,1,8,0
1,1,3y,m,55,HIŞMAN ÇİZİK,1.15.65,1.75,34,1,63
1,2,3y,m,55,ERAY ÇİZİK,1.16.14,8.85,12,4,44
1,3,3y,m,55,GÖRKEM ÖZÇELİK,1.16.54,3.45,22,3,48
1,4,3y,m,56,MEHMET KAYA,1.16.72,4.3,22,2,52
1,5,3y,m,55,MUSTAFA ÇİÇEK,1.17.02,7.4,10,5,43
2,1,8y,m,56,AKIN SÖZEN,1.26.93,1.95,45,1,94
2,2,4y,m,55,MUSTAFA ÇİÇEK,1.27.27,2.0,36,2,94
2,3,4y,m,55,GÖRKEM ÖZÇELİK,1.27.54,4.5,14,3,58
2,4,8y,m,56,MAHMUT TURAN,1.29.46,12.25,3,4,60
2,5,4y,m,55,ÇETİN OK,1.30.99,37.4,2,5,39
3,1,5y,m,56,HIŞMAN ÇİZİK,1.57.60,1.45,62,1,91
3,2,8y,m,56,GÖRKEM ÖZÇELİK,1.57.65,6.0,11,3,86
3,3,5y,m,56,TOLGA YILDIZ,1.58.51,27.45,3,5,67
3,4,7y,m,56,MUSTAFA ÇİÇEK,1.59.04,2.6,19,2,89
3,5,5y,m,56,AKIN SÖZEN,2.00.48,12.95,5,4,65
4,1,5y,m,58,BERKANT GÖKÇE,2.26.83,4.25,18,1,65
4,2,8y,m,54,MAHMUT TURAN,2.26.86,4.7,17,2,52
4,3,5y,m,62,MEHMET KAYA,2.27.28,4.3,17,3,67
4,4,8y,f,51,HAKAN YILDIZ,2.27.42,6.45,9,6,45
4,5,8y,m,60,KAANCAN GÖKÇE,2.27.71,4.85,14,4,67
4,6,6y,f,60,KÜRŞAT YILMAZ,2.27.99,10.85,8,7,69
4,7,6y,m,50,GÖKHAN BEKTAŞ,2.34.68,24.1,3,8,44
4,8,5y,m,58,TOLGA YILDIZ,2.39.57,9.0,10,5,60
4,9,7y,f,50,BERKAN ÇIĞLA,2.53.82,19.0,3,9,42
5,1,3y,m,58,MUSTAFA ÇİÇEK,1.29.50,1.7,45,1,37
5,2,3y,m,58,TOLGA YILDIZ,1.30.39,5.65,15,3,30
5,3,3y,m,56,YUNUS EMRE YÜKSEL,1.31.81,52.75,2,8,0
5,4,3y,m,58,AKIN SÖZEN,1.31.83,3.35,15,2,16
5,5,3y,m,58,MAHMUT TURAN,1.31.93,9.75,8,4,32
5,6,3y,f,56,ERAY ÇİZİK,1.32.12,13.0,6,6,32
5,7,3y,m,55,KAANCAN GÖKÇE,1.32.44,43.65,2,7,13
5,8,3y,m,55,MUHAMMET ÖZDEMİR,1.38.21,16.4,7,5,29
6,1,4y,f,51,BERKAN ÇIĞLA,1.58.95,4.05,12,4,35
6,2,6y,f,56,HIŞMAN ÇİZİK,1.59.65,9.35,12,5,42
6,3,5y,f,58,MAHMUT TURAN,1.59.94,6.35,16,2,46
6,4,7y,f,58,MUHAMMED MİR BİLGİN,2.00.02,1.65,33,1,45
6,5,7y,f,52,ERAY ÇİZİK,2.00.56,10.15,15,3,33
6,6,4y,f,50,GÖKHAN BEKTAŞ,2.03.43,8.0,8,6,28
7,1,6y,m,56,MUSTAFA ÇİÇEK,1.41.48,1.75,34,1,96
